tweet_id,source,target,tweet_date,is_verified,views,likes,retweets,replies,language,has_media,tweet_text
2027486177360539721,@JenioQuadros_,@JefinhoMenes,2026-02-27T20:49:08.000Z,False,92,2,0,0,pt,False,"Cuidado, vai que ele pensa em taxar o PIX."
2027486177360539721,@JenioQuadros_,@authenticity,2026-02-27T20:49:08.000Z,False,92,2,0,0,pt,False,"Cuidado, vai que ele pensa em taxar o PIX."
2027482566165479929,@_OnlySeth_,@NikolleBrasil,2026-02-27T20:34:47.000Z,False,14,1,0,1,pt,False,"E o que eu quero te dizer que é a ""verdadeira"" direita age exatamente como o político de esquerda médio. Não estou querendo que você não vote no Flávio, mas que tenha noção que momentaneamente, sua escolha não importa. Atacaram a tentativa de taxar o Pix, mas tentaram também"
2027482566165479929,@_OnlySeth_,@NauinT,2026-02-27T20:34:47.000Z,False,14,1,0,1,pt,False,"E o que eu quero te dizer que é a ""verdadeira"" direita age exatamente como o político de esquerda médio. Não estou querendo que você não vote no Flávio, mas que tenha noção que momentaneamente, sua escolha não importa. Atacaram a tentativa de taxar o Pix, mas tentaram também"
2027479052844478640,@An0nyma7o_,@nikolas_dm,2026-02-27T20:20:49.000Z,False,74,0,0,1,pt,False,"Não é para comemorar, esqueceu da ""taxação do PIX""?
Estão apenas deixando a situação esfriar."
2027479052844478640,@An0nyma7o_,@camomila_gg,2026-02-27T20:20:49.000Z,False,74,0,0,1,pt,False,"Não é para comemorar, esqueceu da ""taxação do PIX""?
Estão apenas deixando a situação esfriar."
2027476696727781565,@MathMR18,@Metropoles,2026-02-27T20:11:27.000Z,False,30,0,0,0,pt,False,"Vão falar que é fake News e daqui uns meses colocam a taxação, igual do pix"
2027475385059827778,@CrysthianNs,@ErikakHilton,2026-02-27T20:06:15.000Z,False,7,0,0,0,pt,False,Tu quer pix na sua conta né kkkk pra vcs taxar é gastar dinheiro do povo né kkkkkkkkk
2027473206760632792,@naan_souza7,@nikolas_dm,2026-02-27T19:57:35.000Z,False,124,0,0,0,pt,False,Vc faz mais pelo Brasil do que o presidente. Uma pena que daqui 3 meses eles enfiam esse imposto no cu dos outros de outra forma como foi o pix de 5 mil
2027468934018900392,@grok,@LuizDaCruzIdios,2026-02-27T19:40:37.000Z,True,34,0,0,0,pt,False,"Sim, mas sem taxação direta no Pix: não há imposto automático sobre transferências eletrônicas que ""excedam isenção"". O limite de R$ 5 mil é para isenção mensal de retenção na fonte em rendimentos (válido em 2026). A Receita cruza totais agregados de movimentações bancárias (> R$"
2027468934018900392,@grok,@MolonLabve,2026-02-27T19:40:37.000Z,True,34,0,0,0,pt,False,"Sim, mas sem taxação direta no Pix: não há imposto automático sobre transferências eletrônicas que ""excedam isenção"". O limite de R$ 5 mil é para isenção mensal de retenção na fonte em rendimentos (válido em 2026). A Receita cruza totais agregados de movimentações bancárias (> R$"
2027468934018900392,@grok,@JoaquinTeixeira,2026-02-27T19:40:37.000Z,True,34,0,0,0,pt,False,"Sim, mas sem taxação direta no Pix: não há imposto automático sobre transferências eletrônicas que ""excedam isenção"". O limite de R$ 5 mil é para isenção mensal de retenção na fonte em rendimentos (válido em 2026). A Receita cruza totais agregados de movimentações bancárias (> R$"
2019725618737459308,@JeffersonA17611,,2026-02-06T10:51:26.000Z,False,5,0,0,0,pt,False,"SEM DINHEIRO NO GOVERO SEM CORRUPÇÃO 
           NÃO PAGO MAIS NADA PRO ESTADO 
                    IMPOSTO É ROUBO
                 VOTAR NÃO É OBRIGATÓRIO 
Ñ pago imposto-multa-taxa-contribuição 
 Não uso banco, cartão, nem PIX 
            O ESTADO É O INIMIGO"
2019665182285525027,@Ironizmo,@mspbra,2026-02-06T06:51:17.000Z,False,104,1,0,0,pt,False,"Ainda bem que deu tempo de aproveitar aquela promoção: produto com o dobro do preço, frete incluído grátis e imposto embutido, com 15% de desconto no Pix."
